"","subsample","aggregation","ATT","std.error","N","treated_props","p.01","p.05","p.1"
"1","main","ATT_ovr",0.00610349589584279,0.000903076570960864,8560,3255,1,1,1
"2","timber","ATT_ovr",0.00650782845245912,0.000999605241978504,8067,2762,1,1,1
"3","not timber","ATT_ovr",0.00142983770926356,0.0023983922892106,5725,420,0,0,0
"4","indigenous","ATT_ovr",0.00916740417425856,0.00172909302811458,5747,442,1,1,1
"5","smallholder","ATT_ovr",0.00652603894041962,0.00100109830355949,7687,2382,1,1,1
"6","other","ATT_ovr",0.00436603593627579,0.00153271385762473,6213,908,1,1,1
"7","female","ATT_ovr",0.00499730852518901,0.00136338438349353,6130,825,1,1,1
"8","male","ATT_ovr",0.00666754666608567,0.00103768900375247,7333,2028,1,1,1
"9","ref","ATT_ovr",0.00386880491445933,0.00196840344861829,5568,263,0,1,1
"10","main","ATT_equal",0.00328675727798698,0.000682289165998889,8560,3255,1,1,1
"11","timber","ATT_equal",0.00336832975005376,0.000741413362494997,8067,2762,1,1,1
"12","not timber","ATT_equal",0.00278083818981811,0.00181701199663937,5725,420,0,0,0
"13","indigenous","ATT_equal",0.00610718123452509,0.00142886609970302,5747,442,1,1,1
"14","smallholder","ATT_equal",0.00376977534882876,0.000773329614893212,7687,2382,1,1,1
"15","other","ATT_equal",0.00188032964519771,0.00100377302010825,6213,908,0,0,1
"16","female","ATT_equal",0.00191683655783917,0.00111311356828937,6130,825,0,0,1
"17","male","ATT_equal",0.00362592602662958,0.000851485919401548,7333,2028,1,1,1
"18","ref","ATT_equal",0.00245607974222751,0.00178935360780145,5568,263,0,0,0
